case_id,year,year,month,day,hour,minute,county,county_name,city,city_name,latitude,longitude,fatalities,route_type,roadway,functional_system,first_harmful_event,lighting,weather
470106,2016,2016,2,24,20,42,37,DAVIDSON (37),960,GOODLETTSVILLE,36.30203889,-86.70123889,1,Other,NONE,Trafficway Not in State Inventory,Pedestrian,Dark - Lighted,Rain
470107,2016,2016,3,1,2,13,93,KNOX (93),1300,KNOXVILLE,35.96258056,-83.97156111,1,State Highway,SR-169 MIDDLEBROOK PK,Minor Arterial,Utility Pole/Light Support,Dark - Lighted,Clear
470108,2016,2016,2,12,22,4,157,SHELBY (157),1620,MEMPHIS,35.15044722,-90.05167778,1,Local Street - Municipality,POPLAR AVE,Minor Arterial,Pedestrian,Dark - Lighted,Clear
470109,2016,2016,2,25,11,51,65,HAMILTON (65),400,CHATTANOOGA,35.07363889,-85.19033889,1,State Highway,SR-317 BONNY OAKS DR,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Cloudy
470110,2016,2016,2,19,13,2,13,CAMPBELL (13),350,CARYVILLE,36.3144,-84.20448889,1,U.S. Highway,US-25W SR-9 VETERANS MEMORIAL,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470111,2016,2016,2,23,22,50,73,HAWKINS (73),0,NOT APPLICABLE,36.46651111,-82.90938889,1,U.S. Highway,US-11W SR-1,Principal Arterial - Other,Culvert,Dark - Not Lighted,Rain
470112,2016,2016,2,23,6,7,165,SUMNER (165),1648,MILLERSVILLE,36.39683889,-86.71706111,3,Interstate,I-65,Interstate,Motor Vehicle In-Transport,Dawn,Clear
470113,2016,2016,3,1,20,12,157,SHELBY (157),1620,MEMPHIS,35.14841389,-89.82286111,1,Local Street - Municipality,MULLINS STATION RD,Minor Arterial,Tree (Standing Only),Dark - Lighted,Clear
470114,2016,2016,2,25,15,11,93,KNOX (93),1300,KNOXVILLE,35.94606944,-84.02076111,1,State Highway,SR-169 MIDDLEBROOK PK,Minor Arterial,Motor Vehicle In-Transport,Daylight,Cloudy
470115,2016,2016,3,1,21,30,77,HENDERSON (77),0,NOT APPLICABLE,35.55441944,-88.46726944,1,State Highway,SR-22,Minor Arterial,Tree (Standing Only),Dark - Not Lighted,Cloudy
470116,2016,2016,2,29,6,10,125,MONTGOMERY (125),410,CLARKSVILLE,36.51408889,-87.31543056,1,U.S. Highway,US-41A SR-76/112 MADISON ST,Minor Arterial,Utility Pole/Light Support,Daylight,Clear
470117,2016,2016,2,13,23,5,19,CARTER (19),0,NOT APPLICABLE,36.29398889,-82.24593889,1,State Highway,SR-362/2377,Minor Arterial,Motor Vehicle In-Transport,Dark - Not Lighted,Clear
470118,2016,2016,3,2,18,17,37,DAVIDSON (37),1760,NASHVILLE,36.23101111,-86.83308889,1,U.S. Highway,US-41A SR-112 CLARKSVILLE PK,Minor Arterial,Motor Vehicle In-Transport,Dark - Lighted,Clear
470119,2016,2016,2,28,99,99,173,UNION (173),0,NOT APPLICABLE,36.30978889,-83.79335,1,Other,EAGLES COVE PKWY,Trafficway Not in State Inventory,Rollover/Overturn,Dark - Not Lighted,Clear
470120,2016,2016,2,29,18,46,47,FAYETTE (47),0,NOT APPLICABLE,35.06653056,-89.63935,1,State Highway,SR-385 STATE HWY 385,Principal Arterial - Other,Rollover/Overturn,Dark - Not Lighted,Clear
470121,2016,2016,2,29,14,11,177,WARREN (177),0,NOT APPLICABLE,35.71753056,-85.86548889,1,U.S. Highway,US-70S SR-1 NASHVILLE HWY,Principal Arterial - Other,Guardrail Face,Daylight,Clear
470122,2016,2016,3,3,11,40,109,MCNAIRY (109),752,EASTVIEW,35.06078889,-88.53921944,1,U.S. Highway,US-45 SR-5,Principal Arterial - Other,Mail Box,Daylight,Cloudy
470123,2016,2016,3,5,6,46,149,RUTHERFORD (149),1750,MURFREESBORO,35.82931111,-86.41646944,1,Interstate,I-24,Interstate,Rollover/Overturn,Daylight,Clear
470124,2016,2016,2,18,3,0,61,GRUNDY (61),1900,PALMER,35.36028889,-85.56828889,1,State Highway,SR-108 MAIN ST,Minor Arterial,Guardrail Face,Dark - Not Lighted,Clear
470125,2016,2016,3,1,8,46,161,STEWART (161),0,NOT APPLICABLE,36.4802,-87.88821111,1,U.S. Highway,US-79 SR-76 DONELSON PKWY,Principal Arterial - Other,Pedestrian,Daylight,Cloudy
470127,2016,2016,3,5,23,56,179,WASHINGTON (179),1260,JONESBORO,36.38072222,-82.5094,1,State Highway,SR-75 GRAYSTATION RD BOWMAN TO,Minor Arterial,Rollover/Overturn,Dark - Not Lighted,Clear
470128,2016,2016,3,5,16,0,157,SHELBY (157),1620,MEMPHIS,35.07641389,-90.04385278,1,Interstate,I-55,Interstate,Motor Vehicle In-Transport,Daylight,Clear
470129,2016,2016,3,6,3,52,157,SHELBY (157),1620,MEMPHIS,35.19161111,-89.97655278,1,Interstate,I-40,Interstate,Motor Vehicle In-Transport,Dark - Lighted,Clear
470130,2016,2016,2,26,18,20,157,SHELBY (157),1660,MILLINGTON,35.35248889,-89.92235556,1,Local Street - Municipality,QUITO RD,Major Collector,Pedestrian,Dark - Lighted,Clear
470131,2016,2016,2,29,7,57,21,CHEATHAM (21),0,NOT APPLICABLE,36.36486111,-86.96066944,1,Interstate,I-24,Interstate,Motor Vehicle In-Transport,Daylight,Clear
470132,2016,2016,3,1,5,40,147,ROBERTSON (147),499,Coopertown,36.4113,-87.01105,1,State Highway,SR-49,Minor Arterial,Culvert,Dawn,Clear
470133,2016,2016,3,4,18,20,125,MONTGOMERY (125),410,CLARKSVILLE,36.59568611,-87.419175,1,U.S. Highway,US-41A SR-12 FT CAMPBELL BLVD,Principal Arterial - Other,Pedestrian,Dark - Lighted,Clear
470134,2016,2016,3,5,21,42,37,DAVIDSON (37),1760,NASHVILLE,36.14171944,-86.77866944,1,U.S. Highway,US-31 SR-6 8TH AVE S,Minor Arterial,Motor Vehicle In-Transport,Dark - Lighted,Clear
470135,2016,2016,3,3,18,45,157,SHELBY (157),1620,MEMPHIS,35.12817778,-90.05906389,1,Local Street - Municipality,S MAIN ST,Major Collector,Motor Vehicle In-Transport,Dark - Lighted,Clear
