mstrrecnbr,collision_ts,year,county,countystat,crash,crash_type,fatalities,non_motorists,commercial,fatal_c,nonmotor_c,truck_c,fatalc,serious_injuries,ped,bike,lighting,weather,first_harmful_event,latitude,longitude,in_city,src_layer
102650230,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Rain,Motor Vehicle-In-Transport On Same Roadway,35.99554,-86.77918,True,Crashes_MPO_2020
102650301,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,35.97039,-86.77379,True,Crashes_MPO_2020
102650307,2020-02-12,2020,Williamson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,35.99731,-86.79469,True,Crashes_MPO_2020
102650326,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,36.0346,-86.80265,True,Crashes_MPO_2020
102650357,2020-02-12,2020,Williamson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Rain,Motor Vehicle-In-Transport On Same Roadway,35.9605,-86.80983,False,Crashes_MPO_2020
102650386,2020-02-12,2020,Williamson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,35.92899,-86.82079,False,Crashes_MPO_2020
102650412,2020-02-12,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.03289,-86.77218,False,Crashes_MPO_2020
102650513,2020-02-04,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Rain,Mail Box,35.95749,-86.85019,False,Crashes_MPO_2020
102650532,2020-02-12,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Fire Hydrant,36.04027,-86.81641,False,Crashes_MPO_2020
102650569,2020-02-13,2020,Davidson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,36.04694,-86.68191,False,Crashes_MPO_2020
102650571,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,35.96396,-86.69208,False,Crashes_MPO_2020
102650650,2020-02-13,2020,Davidson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Concrete Traffic Barrier,36.03768,-86.78297,False,Crashes_MPO_2020
102650674,2020-02-13,2020,Davidson,,1.0,Possible Injury,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,36.0488,-86.71367,False,Crashes_MPO_2020
102650676,2020-02-13,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,36.05219,-86.74303,False,Crashes_MPO_2020
102650679,2020-02-13,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,35.92366,-86.76693,False,Crashes_MPO_2020
102650705,2020-02-13,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,35.9325,-86.86247,False,Crashes_MPO_2020
102650771,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,35.95009,-86.81887,False,Crashes_MPO_2020
102650786,2020-02-13,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,35.96069,-86.8095,False,Crashes_MPO_2020
102650883,2020-02-12,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Rain,Motor Vehicle-In-Transport On Same Roadway,35.94074,-86.81668,False,Crashes_MPO_2020
102650884,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Curb,35.932,-86.80177,False,Crashes_MPO_2020
102650885,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,35.92825,-86.87113,False,Crashes_MPO_2020
102650894,2020-02-13,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,35.966717,-86.809103,True,Crashes_MPO_2020
102651074,2020-02-13,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Cloudy,Motor Vehicle-In-Transport On Same Roadway,36.04519,-86.7154,False,Crashes_MPO_2020
102651176,2020-02-13,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Clear,Motor Vehicle-In-Transport On Same Roadway,35.95235,-86.81962,False,Crashes_MPO_2020
102651177,2020-02-13,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,35.94465,-86.80908,False,Crashes_MPO_2020
102651199,2020-02-13,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,36.03409,-86.78315,True,Crashes_MPO_2020
102651279,2020-02-13,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,35.93833,-86.8791,False,Crashes_MPO_2020
102651280,2020-02-13,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,35.92302,-86.8166,False,Crashes_MPO_2020
102651281,2020-02-13,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dusk,Clear,Motor Vehicle-In-Transport On Same Roadway,35.96382,-86.80841,False,Crashes_MPO_2020
102651466,2020-02-13,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Parked Motor Vehicle,36.04979,-86.70308,False,Crashes_MPO_2020
102651614,2020-02-14,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,36.04085,-86.77947,False,Crashes_MPO_2020
102651792,2020-02-14,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,36.04126,-86.77741,False,Crashes_MPO_2020
102651856,2020-02-14,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,36.04098,-86.77941,False,Crashes_MPO_2020
102652009,2020-02-14,2020,Williamson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,35.94588,-86.8233,False,Crashes_MPO_2020
102652025,2020-02-12,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,36.03461,-86.78333,True,Crashes_MPO_2020
102652181,2020-02-14,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.04114,-86.7795,False,Crashes_MPO_2020
102652226,2020-02-14,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,35.98907,-86.74135,True,Crashes_MPO_2020
102652257,2020-02-14,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.03664,-86.7831,False,Crashes_MPO_2020
102652569,2020-02-14,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,35.95425,-86.81198,False,Crashes_MPO_2020
